,review_body,review_date,hotelName,hotelUrl
0,"From the day we checked in till we checked out, there was not a thing we could fault about this property! The check-in was swift and the receptionist was super friendly. I remember her smiling sweetly all the time as she talked. My boyfriend and I stayed 6 nights at Glad Mapo last year - although we paid an extra night of room charge to keep our luggages and to refresh before leaving for our late night flight, it was okay as we did not expect a city hotel to provide us a FOC shower room. Prior to our arrival, I sent a request to the hotel team to ask for a room on a quieter/higher floor with beautiful city view as we're there to celebrate our anniversary. I definitely did not expect anything more than what I'd requested but we were shocked that they upgraded us to a suite with a living room and huge bathroom as a surprise for us. It was a very, very lovely gesture! The room was spotlessly clean and huge with modern and comfortable interior. Water pressure from the shower was strong enough which was a + point for my criteria.The highlight has got to be this - I asked if they had an ironing board in the room and the next thing I knew, we received a room with an automatic Steam Styler machine. All our crumpled clothes came out straightened within 10 minutes. BRILLIANT.We constantly had the DND sign hung on our room door throughout our stay as we strictly do not like stranger in our room be it in our presence or not.. but the cleaner was very thoughtful. At every opportunity she saw us leaving the hotel room, she would ask if we needed to empty our dustbins in the room or if we needed more toilet rolls, drinking water and other amenities - all while doing sign languages as we had language barrier : ) Location of property was lovely - Once we stepped out of Exit 9 of Gongdeok Station, it is right there in front of the escalator. Direct train to and from the airport (be sure to check departure time through your phone so you won't have to wait too long!) and easy subway connection to many other tourist attractions!Some people may not like this but we absolutely love that this hotel is surrounded by office towers - It is so peaceful at night and there are lots of restaurants (both cheap & expensive - and the food is great!) within walking distance. If you need a convenient store, there is even a 7-11 inside the hotel where you can find cheap and good eats like korean bento boxes if you need a quick hunger fix. Being an ex-hotelier myself at a prestigious resort, I would say the level of service, room comfort, location etc. is great value for the price they charge. Highly recommended if you do not want to splurge too much on hotel. We will be returning to Seoul in October this year and we can't wait to stay at Glad Mapo again!","July 11, 2019","0    GLAD Mapo
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294197-d13819581-Reviews-GLAD_Mapo-Seoul.html
1,"As mentioned on several reviews, this hotel is steps away from the Gongdeok metro (exit 9).The hotel itself is very nice, clean and quiet, and the staff is very friendly.There is not much touristy around the hotel, but the Seoul metro is easy and cheap.I would stay again.","June 24, 2019","0    GLAD Mapo
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294197-d13819581-Reviews-GLAD_Mapo-Seoul.html
2,"We were pleasantly surprised when entering our room. It was reasonably priced but felt upscale because of the size and amenities. Their staff in every instance were attentive and gracious. The restaurant had a breakfast and dinner buffet that was good. The location at Gouong Doek station made it easy to access the subway system Our experience in the Glad Hotel compared very favorably to our accommodations in Fukuoka and in Shimane, Japan. The Glad was a 5 star experience for us.","June 16, 2019","0    GLAD Mapo
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294197-d13819581-Reviews-GLAD_Mapo-Seoul.html
3,"So many things that pleased me about this hotel. First of all, the train ended directly at the hotel, making it so convenient. Our room was large and spacious, with wide windows overlooking the city. The bathroom had a large walk in shower. Service is top notch throughout the hotel. The M dining room staff is helpful, courteous and professional as well. It was the nicest experience for my first visit to Seoul.","June 16, 2019","0    GLAD Mapo
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294197-d13819581-Reviews-GLAD_Mapo-Seoul.html
4,"Stayed 9 night in a Deluxe double room on the 24th floor (last one).View incredible, super comfy bed, cleanliness wonderful , they changed the linens and towels everyday. Staff is very welcoming.Beautiful reception with a 7eleven.Location is top.Missing this hotel, will come back for sure.Thanks Glad mapo","June 15, 2019","0    GLAD Mapo
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294197-d13819581-Reviews-GLAD_Mapo-Seoul.html
5,"Hotel is located right next to subway station, very continent. The room was nice and spacious, staffs are polite and able to speak English well. With lot of restaurants and local market nearby, would definitely come back in next time.","June 11, 2019","0    GLAD Mapo
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294197-d13819581-Reviews-GLAD_Mapo-Seoul.html
6,"I stayed in Glad Mapo for 5 nights! The Superior Double was very clean, tidy and most importantly comfortable!Staff was extremely friendly and helpful in assisting in check-in and out and also gave useful information how to go to the airport cause I had a flight at midnight. Thanks for everything!There is a convenience store (7-eleven) in their reception area! Note that it is too close from Gongdeok station which connected 4 line. Super convenient to travel Seoul as a self-planned tourist like me ^^Highly recommended","June 10, 2019","0    GLAD Mapo
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294197-d13819581-Reviews-GLAD_Mapo-Seoul.html
7,Mr Eavun Paril is very kind and he did help me a lot with my problem of the room. The room is delicate and not that expensive. There is no doubt that I will live here again when I come to Seoul next time.,"June 7, 2019","0    GLAD Mapo
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294197-d13819581-Reviews-GLAD_Mapo-Seoul.html
8,"The location of the hotel is excellent, it is reachable by the metro from the airport and is close by all the historical sites. Within the vicinity there is plenty of bars, great cafes, and restaurants. Everything in the room was new, clean, and fresh.Initially I was allocated to the room that was on the 10th floor and rather dark, however when I addressed the issue, Eric Kim at the front desk was very accommodating and swiftly and effortlessly moved me to a different room with a stunning view that was above my expectations. It made my stay at Seoul special and I would definitely stay at the same hotel again.","June 2, 2019","0    GLAD Mapo
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294197-d13819581-Reviews-GLAD_Mapo-Seoul.html
9,"I have stayed at Glad Mapo twice now as a solo traveller. It’s location is perfect for exploring Seoul, with Gongdeok station right by the hotel, which connects to many underground lines, including the airport Arex route.The rooms are spacious and very clean. Staff are helpful. The breakfast is quite pricey, but other than that, I would recommend it.","June 1, 2019","0    GLAD Mapo
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294197-d13819581-Reviews-GLAD_Mapo-Seoul.html
